,cell_type,transcriptId,count
459,mature Glutamatergic,ENSMUST00000170241.7,0.0
460,cycling radial glia,ENSMUST00000170241.7,0.0
461,imature Glutamatergic,ENSMUST00000170241.7,2.0
462,mature Glutamatergic,ENSMUST00000170241.7,3.0
463,imature Glutamatergic,ENSMUST00000170241.7,2.0
464,imature GABAergic,ENSMUST00000170241.7,1.0
465,mature GABAergic,ENSMUST00000170241.7,1.0
466,mature GABAergic,ENSMUST00000170241.7,0.0
467,imature GABAergic,ENSMUST00000170241.7,0.0
468,mature Glutamatergic,ENSMUST00000170241.7,1.0
469,imature GABAergic,ENSMUST00000170241.7,1.0
470,imature Glutamatergic,ENSMUST00000170241.7,1.0
471,mature GABAergic,ENSMUST00000170241.7,1.0
472,imature Glutamatergic,ENSMUST00000170241.7,0.0
473,imature Glutamatergic,ENSMUST00000170241.7,0.0
474,imature Glutamatergic,ENSMUST00000170241.7,0.0
475,mature Glutamatergic,ENSMUST00000170241.7,0.0
476,mature GABAergic,ENSMUST00000170241.7,0.0
477,imature GABAergic,ENSMUST00000170241.7,1.0
478,intermediate progenitor,ENSMUST00000170241.7,1.0
479,mature Glutamatergic,ENSMUST00000170241.7,1.0
480,mature Glutamatergic,ENSMUST00000170241.7,2.0
481,mature Glutamatergic,ENSMUST00000170241.7,0.0
482,imature GABAergic,ENSMUST00000170241.7,0.0
483,radial glia,ENSMUST00000170241.7,7.0
484,mature Glutamatergic,ENSMUST00000170241.7,1.0
485,Cajal-Retzius,ENSMUST00000170241.7,0.0
486,mature Glutamatergic,ENSMUST00000170241.7,0.0
487,mature Glutamatergic,ENSMUST00000170241.7,0.0
488,imature GABAergic,ENSMUST00000170241.7,0.0
489,imature GABAergic,ENSMUST00000170241.7,2.0
490,mature Glutamatergic,ENSMUST00000170241.7,0.0
491,mature Glutamatergic,ENSMUST00000170241.7,0.0
492,cycling radial glia,ENSMUST00000170241.7,0.0
493,mature GABAergic,ENSMUST00000170241.7,0.0
494,imature Glutamatergic,ENSMUST00000170241.7,0.0
495,radial glia,ENSMUST00000170241.7,0.0
496,imature GABAergic,ENSMUST00000170241.7,0.0
497,imature GABAergic,ENSMUST00000170241.7,1.0
498,imature Glutamatergic,ENSMUST00000170241.7,0.0
499,imature GABAergic,ENSMUST00000170241.7,1.0
500,imature Glutamatergic,ENSMUST00000170241.7,0.0
